1;2;3;4;5
57;2;3;4;5
58;2;3;4;5
59;2;3;4;5
60;2;3;4;5
61;2;3;4;5
62;2;3;4;5
63;2;3;4;5
64;2;3;4;5
65;2;3;4;5
66;2;3;4;5
67;2;3;4;5
68;2;3;4;5
69;2;3;4;5
70;2;3;4;5
71;2;3;4;5
72;2;3;4;5
73;2;3;4;5
74;2;3;4;5
75;2;3;4;5
76;2;3;4;5
77;2;3;4;5
78;2;3;4;5
79;2;3;4;5
80;2;3;4;5
81;2;3;4;5
82;2;3;4;5
83;2;3;4;5
84;2;3;4;5
85;2;3;4;5
86;2;3;4;5
87;2;3;4;5
88;2;3;4;5
89;2;3;4;5
90;2;3;4;5
91;2;3;4;5
92;2;3;4;5
93;2;3;4;5
94;2;3;4;5
95;2;3;4;5
96;2;3;4;5
97;2;3;4;5
98;2;3;4;5
99;2;3;4;5
100;2;3;4;5
1;2;3;4;5
2;2;3;4;5
3;2;3;4;5
4;2;3;4;5
5;2;3;4;5
6;2;3;4;5
7;2;3;4;5
8;2;3;4;5
9;2;3;4;5
10;2;3;4;5
11;2;3;4;5
12;2;3;4;5
13;2;3;4;5
14;2;3;4;5
15;2;3;4;5
16;2;3;4;5
17;2;3;4;5
18;2;3;4;5
19;2;3;4;5
20;2;3;4;5
21;2;3;4;5
22;2;3;4;5
23;2;3;4;5
24;2;3;4;5
25;2;3;4;5
26;2;3;4;5
27;2;3;4;5
28;2;3;4;5
29;2;3;4;5
30;2;3;4;5
31;2;3;4;5
32;2;3;4;5
33;2;3;4;5
34;2;3;4;5
35;2;3;4;5
36;2;3;4;5
37;2;3;4;5
38;2;3;4;5
39;2;3;4;5
40;2;3;4;5
41;2;3;4;5
42;2;3;4;5
43;2;3;4;5
44;2;3;4;5
45;2;3;4;5
46;2;3;4;5
47;2;3;4;5
48;2;3;4;5
49;2;3;4;5
50;2;3;4;5
51;2;3;4;5
52;2;3;4;5
53;2;3;4;5
54;2;3;4;5
55;2;3;4;5
56;2;3;4;5
57;2;3;4;5
58;2;3;4;5
59;2;3;4;5
60;2;3;4;5
61;2;3;4;5
62;2;3;4;5
63;2;3;4;5
64;2;3;4;5
65;2;3;4;5
66;2;3;4;5
67;2;3;4;5
68;2;3;4;5
69;2;3;4;5
70;2;3;4;5
71;2;3;4;5
72;2;3;4;5
73;2;3;4;5
74;2;3;4;5
75;2;3;4;5
76;2;3;4;5
77;2;3;4;5
78;2;3;4;5
79;2;3;4;5
80;2;3;4;5
81;2;3;4;5
82;2;3;4;5
83;2;3;4;5
84;2;3;4;5
85;2;3;4;5
86;2;3;4;5
87;2;3;4;5
88;2;3;4;5
89;2;3;4;5
90;2;3;4;5
91;2;3;4;5
92;2;3;4;5
93;2;3;4;5
94;2;3;4;5
95;2;3;4;5
96;2;3;4;5
97;2;3;4;5
98;2;3;4;5
99;2;3;4;5
100;2;3;4;5
1;2;3;4;5
2;2;3;4;5
3;2;3;4;5
4;2;3;4;5
5;2;3;4;5
6;2;3;4;5
7;2;3;4;5
8;2;3;4;5
9;2;3;4;5
10;2;3;4;5
11;2;3;4;5
12;2;3;4;5
13;2;3;4;5
14;2;3;4;5
15;2;3;4;5
16;2;3;4;5
17;2;3;4;5
18;2;3;4;5
19;2;3;4;5
20;2;3;4;5
21;2;3;4;5
22;2;3;4;5
23;2;3;4;5
24;2;3;4;5
25;2;3;4;5
26;2;3;4;5
27;2;3;4;5
28;2;3;4;5
29;2;3;4;5
30;2;3;4;5
31;2;3;4;5
32;2;3;4;5
33;2;3;4;5
34;2;3;4;5
35;2;3;4;5
36;2;3;4;5
37;2;3;4;5
38;2;3;4;5
39;2;3;4;5
40;2;3;4;5
41;2;3;4;5
42;2;3;4;5
43;2;3;4;5
44;2;3;4;5
45;2;3;4;5
46;2;3;4;5
47;2;3;4;5
48;2;3;4;5
49;2;3;4;5
50;2;3;4;5
51;2;3;4;5
52;2;3;4;5
53;2;3;4;5
54;2;3;4;5
55;2;3;4;5
56;2;3;4;5
57;2;3;4;5
58;2;3;4;5
59;2;3;4;5
60;2;3;4;5
61;2;3;4;5
62;2;3;4;5
63;2;3;4;5
64;2;3;4;5
65;2;3;4;5
66;2;3;4;5
67;2;3;4;5
68;2;3;4;5
69;2;3;4;5
70;2;3;4;5
71;2;3;4;5
72;2;3;4;5
73;2;3;4;5
74;2;3;4;5
75;2;3;4;5
76;2;3;4;5
77;2;3;4;5
78;2;3;4;5
79;2;3;4;5
80;2;3;4;5
81;2;3;4;5
82;2;3;4;5
83;2;3;4;5
84;2;3;4;5
85;2;3;4;5
86;2;3;4;5
87;2;3;4;5
88;2;3;4;5
89;2;3;4;5
90;2;3;4;5
91;2;3;4;5
92;2;3;4;5
93;2;3;4;5
94;2;3;4;5
95;2;3;4;5
96;2;3;4;5
97;2;3;4;5
98;2;3;4;5
99;2;3;4;5
100;2;3;4;5
